Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
64febc6b9d88e2f8525157fb,60fae2708e5c7da113b61825,APPROVED,2023-09-11T07:06:19.027000Z,2023-09-11T07:14:20.229000Z,2023-09-11T07:14:21.280000,2023-09-11T07:14:21.174839Z,482,C13E0WG5,151,23,Male,Black,South Africa,South Africa,South Africa,English,Yes,Unemployed (and job seeking)
64febc7e520bbd5a5cb2f9cf,614d6d63ffaa9be82c464151,APPROVED,2023-09-11T07:07:25.806000Z,2023-09-11T07:39:51.704000Z,2023-09-11T07:39:53.587000,2023-09-11T07:39:53.488828Z,1946,C13E0WG5,203,22,Female,Black,South Africa,South Africa,South Africa,English,Yes,Full-Time
64febc8dc5149fe8ad8eaccd,60dc321b732fa66d86a17b7b,APPROVED,2023-09-11T07:06:53.230000Z,2023-09-11T07:18:09.421000Z,2023-09-11T07:18:10.161000,2023-09-11T07:18:10.092904Z,677,C13E0WG5,168,25,Female,Asian,South Africa,South Africa,South Africa,English,DATA_EXPIRED,DATA_EXPIRED
64febc91db4a073af18f83c4,612b5ed8c3b1fcb978aad0a8,APPROVED,2023-09-11T07:07:01.105000Z,2023-09-11T07:16:27.431000Z,2023-09-11T07:16:28.043000,2023-09-11T07:16:27.951892Z,567,C13E0WG5,102,23,Female,Black,South Africa,South Africa,South Africa,Other,No,Full-Time
64febc94a6193d2d3c9f7d0d,6170156ad4205a936a1a4773,APPROVED,2023-09-11T07:07:06.339000Z,2023-09-11T07:32:25.054000Z,2023-09-11T07:32:25.619000,2023-09-11T07:32:25.505224Z,1519,C13E0WG5,257,24,Female,Black,South Africa,South Africa,South Africa,English,No,Unemployed (and job seeking)
64febc94e83be4dc9ac7c68c,5c50a6869963920001a8bfb3,APPROVED,2023-09-11T07:11:06.960000Z,2023-09-11T07:26:36.793000Z,2023-09-11T07:26:37.345000,2023-09-11T07:26:37.284506Z,930,C13E0WG5,364,34,Female,White,Poland,Poland,Poland,Polish,No,Unemployed (and job seeking)
64febf89dbd370a06352a686,5bae499686294e0001234c64,APPROVED,2023-09-11T07:19:57.789000Z,2023-09-11T07:35:29.209000Z,2023-09-11T07:35:29.732000,2023-09-11T07:35:29.666311Z,932,C13E0WG5,375,32,Male,White,Italy,Italy,Italy,Italian,No,Full-Time
64fec4280b01d95ce7e0c387,611cf0fcb571ffef2625d948,APPROVED,2023-09-11T07:41:10.662000Z,2023-09-11T07:52:35.856000Z,2023-09-11T07:52:36.503000,2023-09-11T07:52:36.430489Z,686,C13E0WG5,493,29,Male,Black,South Africa,South Africa,South Africa,English,No,Full-Time
64fecc8a419b34976c7bc9eb,5e9c3ff1cf719d151612648f,APPROVED,2023-09-11T08:15:10.942000Z,2023-09-11T08:38:30.517000Z,2023-09-11T08:38:31.789000,2023-09-11T08:38:31.685477Z,1400,C13E0WG5,794,53,Female,White,Italy,Italy,Italy,Italian,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
64fecc8c0b23150f47eff720,5fad8a604de8f00e3bc3d5c1,APPROVED,2023-09-11T08:15:40.185000Z,2023-09-11T08:26:54.862000Z,2023-09-11T08:26:55.432000,2023-09-11T08:26:55.366059Z,675,C13E0WG5,88,56,Female,White,Greece,Greece,Greece,Greek,No,Due to start a new job within the next month
