Prolific ID,5a607a7eac56240001544493
131,GRADUATE,1694006152.1892157,1694006153.9453526
3053,GRADUATE,1694006190.4955099,1694006191.6674607
2537,GRADUATE,1694006226.2804463,1694006227.7971778
4096,GRADUATE,1694006252.8112378,1694006259.3489268
3920,DROPOUT,1694006280.3370996,1694006281.2401857
988,DROPOUT,1694006305.7737079,1694006307.1566267
2781,GRADUATE,1694006324.4155633,1694006325.3153007
3575,GRADUATE,1694006341.7964413,1694006345.3203402
266,GRADUATE,1694006366.0633624,1694006366.585957
2791,GRADUATE,1694006376.6556325,1694006386.0696247
